reward,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-0.04804072,0.007,0.339,0.92,29,13,546,14.364
-0.04799843,0.0118,0.416,0.957,28,11,832,14.699
-0.04783156,0.0069,0.443,0.798,24,19,682,14.362
-0.0478269,0.0052,0.28,0.79,29,11,734,12.405
-0.04782554,0.0096,0.512,0.989,27,5,702,13.974
-0.0476788,0.0073,0.169,0.922,29,7,220,12.104
-0.04763465,0.0082,0.402,0.839,24,11,461,11.006
-0.04757278,0.0045,0.473,0.775,28,11,750,14.397
-0.04752592,0.0111,0.554,0.875,23,7,641,13.879
-0.04747322,0.0048,0.66,0.94,28,12,676,12.307
-0.04726985,0.0056,0.673,0.994,26,27,739,14.441
-0.04722751,0.0111,0.553,0.974,25,15,641,13.889
-0.04711654,0.0137,0.451,0.999,24,12,853,11.265
-0.04700733,0.0108,0.526,0.995,20,18,628,14.035
-0.04696273,0.0087,0.136,0.953,14,7,621,11.773
-0.04694164,0.0144,0.439,0.698,24,9,694,14.076
-0.04691439,0.0143,0.31,0.949,5,19,119,14.198
-0.04681451,0.0028,0.293,0.924,24,99,631,10.393
-0.04679418,0.0069,0.677,0.941,30,14,608,12.951
-0.04674648,0.0075,0.306,0.917,22,16,494,14.36
-0.04670402,0.0089,0.371,0.758,24,21,738,14.782
-0.04662936,0.0067,0.44,0.883,29,17,542,14.919
-0.04660986,0.0086,0.42,0.921,25,7,757,13.798
-0.04657226,0.0092,0.472,0.88,28,11,568,12.6
-0.04645472,0.0068,0.423,0.931,26,7,760,12.567
-0.04628863,0.013,0.352,0.9,3,13,654,14.8
-0.04626566,0.0028,0.293,0.924,24,99,654,10.209
-0.04623624,0.0108,0.501,0.863,30,12,641,14.158
-0.04618955,0.0071,0.251,0.954,27,3,529,10.994
-0.04612627,0.0127,0.393,0.849,24,11,814,13.417
-0.04608989,0.0081,0.306,0.979,22,14,580,14.353
-0.04595473,0.013,0.24,0.846,24,11,826,13.85
-0.04591989,0.0105,0.445,0.975,23,4,647,11.084
-0.04591852,0.0092,0.316,0.922,24,21,489,14.234
-0.0459179,0.0118,0.481,0.999,29,19,654,14.719
-0.04590219,0.0073,0.324,0.961,30,12,601,14.807
-0.04580129,0.0081,0.529,0.915,26,10,788,12.979
-0.04575542,0.0138,0.536,0.88,28,5,964,13.405
-0.04560002,0.0079,0.365,0.915,25,11,855,14.417
-0.04559299,0.0109,0.508,0.929,26,12,756,13.285
-0.04558323,0.0145,0.397,0.857,24,13,875,11.16
-0.04556754,0.0139,0.303,0.997,5,10,387,14.78
-0.04548754,0.007,0.272,0.964,22,11,825,14.097
